#LineFullDataSet,Timestamp,AirHumidity,AirPressure,AirTemperature,GasCHRatio,GasCO2Concentration,GasEthaneConcentration,GasHexaneConcentration,GasHhvEnergy,GasIbutaneConcentration,GasIpentaneConcentration,GasLhvEnergy,GasMethaneConcentration,GasN2Concentration,GasNbutaneConcentration,GasNeopentaneConcentration,GasNpentaneConcentration,GasPropaneConcentration,GasRelativeDensity,GasWobbeInf,GasWobbeSup,GrossPower,GrossEfficiency
1215,2015-03-23 15:00:00,63.59802917,1011.111667,28.23785,3.1543608460000003,1.156814357,4.430922928999999,0.108764085,41.08887538,0.330139764,0.109601154,37.13909923,86.93010833,4.55951975,0.427952943,0.0,0.097610771,1.858418615,0.642620679,46.33808857,51.26086786,650.5785817000001,57.28505129
1216,2015-03-23 16:00:00,64.09324000000001,1011.5039999999999,27.60742,3.1543763080000002,1.156164583,4.408722077,0.110724825,41.05746462,0.327805383,0.10898776199999999,37.12321615,86.92565,4.50934625,0.42404995799999995,0.0,0.097047225,1.863182615,0.6423232329999999,46.31952167,51.24116833,654.2134571,57.16239451
1217,2015-03-23 17:00:00,67.7011,1012.1905,26.78711,3.154572,1.1564616429999999,4.438567,0.105018315,41.09165846,0.331319336,0.10799249999999999,37.149809999999995,86.90959077,4.562436846000001,0.426936143,0.0,0.09508612,1.8811060000000002,0.642545014,46.33982643,51.26290786,640.4607888999999,56.79472216
1218,2015-03-23 18:00:00,71.50607,1012.717,25.935875,3.155525143,1.1641733570000001,4.466491,0.1029593,41.125479999999996,0.33274056399999996,0.10659698599999999,37.17861923,86.87191999999999,4.519289429,0.426622257,0.0,0.093592514,1.9102514290000001,0.642931586,46.36678357,51.29168214,518.3659192,55.2166764
1222,2015-03-23 22:00:00,78.759765,1012.983333,24.5366775,3.152562077,1.134722933,4.397023867,0.101497646,41.06913143,0.32383224,0.104644838,37.129815,87.05234,4.514793071000001,0.41199876700000004,0.0,0.092255197,1.8786088459999999,0.6414227,46.35214067,51.27852333,663.44785,57.39579998
1223,2015-03-23 23:00:00,79.30771999999999,1012.416,24.303932500000002,3.151585,1.128384083,4.38050875,0.101829614,41.05938077,0.321239025,0.10446084300000001,37.11220538,87.076425,4.493023385,0.412919342,0.0,0.092211544,1.858498429,0.641037183,46.35084333,51.27785583,636.2848524,57.64104318
1224,2015-03-24 00:00:00,78.870804,1012.0738,24.4184,3.151725571,1.138564857,4.390483692,0.102070986,41.05936857,0.320054929,0.104326814,37.11980538,87.10804,4.508353571000001,0.410891379,0.0,0.09218361,1.860478429,0.6411328000000001,46.35133643,51.27828214,546.2885673999999,56.62318816
1225,2015-03-24 01:00:00,77.790435,1011.6334,24.57755,3.150503857,1.150323571,4.377351714,0.1017835,41.04973462,0.317836021,0.103312814,37.10582538,87.11631889,4.461487667,0.40758540000000004,0.0,0.091393149,1.850112714,0.64094335,46.348165,51.27531643,581.6110172,56.95747111
1226,2015-03-24 02:00:00,75.7487,1011.217,24.83941,3.153425,1.166322071,4.414639923,0.10250230000000002,41.10284846,0.325802421,0.10528210000000002,37.16157923,87.02329692,4.4480505710000005,0.41883000000000004,0.0,0.09298668,1.890047,0.642009021,46.38063571,51.30877214,559.9975756,57.182946799999996
1227,2015-03-24 03:00:00,72.97091999999999,1011.2475,24.77431,3.1565732860000004,1.1702229290000001,4.396214231,0.11412989999999999,41.16348385,0.33547947899999997,0.11226764300000001,37.226653999999996,86.99238714,4.424008308,0.43804079999999995,0.0,0.099465754,1.899326429,0.642976479,46.41850429,51.34827786,582.7636227,56.6651596
